 Char | Huffman code 
----------------------
 88   |     1000000
 76   |     0111111
 79   |     0111110
 83   |     0111101
 92   |     0111011
 81   |     0111010
 96   |     0111001
 91   |     0111000
 73   |     0110111
 86   |     0110110
 89   |     0110101
 75   |     0110100
 112  |     0110011
 78   |     0110010
 94   |     0110001
 99   |     0110000
 71   |     0101111
 97   |     0101110
 80   |     0101101
 77   |     0101011
 103  |     0101010
 82   |     0101001
 85   |     0101000
 108  |     0100111
 72   |     0100110
 70   |     0100101
 115  |     0100100
 84   |     0100011
 90   |     0100010
 95   |     0100001
 93   |     0100000
 107  |     0011111
 105  |     0011110
 87   |     0011101
 74   |     0011100
 100  |     0011011
 102  |     0011010
 110  |     0011001
 113  |     0011000
 120  |     0010111
 118  |     0010101
 104  |     0010100
 69   |     0010011
 111  |     0010010
 98   |     0010001
 124  |     0010000
 121  |     0001111
 67   |     0001110
 101  |     0001101
 109  |     0001100
 68   |     0001011
 106  |     0001001
 114  |     0001000
 123  |     0000111
 116  |     0000110
 65   |     0000101
 117  |     0000100
 131  |     0000011
 63   |     0000001
 127  |     0000000
 192  |    11111111
 128  |    11111110
 119  |    11111101
 122  |    11111100
 135  |    11111011
 64   |    11111010
 125  |    11111001
 126  |    11111000
 129  |    11110110
 66   |    11110101
 62   |    11110011
 132  |    11110010
 133  |    11110001
 134  |    11110000
 143  |    11101110
 193  |    11101101
 130  |    11101100
 147  |    11101011
 139  |    11101001
 137  |    11101000
 140  |    11100111
 195  |    11100110
 142  |    11100101
 152  |    11100011
 136  |    11100010
 138  |    11100001
 144  |    11100000
 145  |    11011111
 141  |    11011110
 159  |    11011101
 190  |    11011100
 60   |    11011011
 188  |    11011010
 61   |    11011000
 149  |    11010111
 191  |    11010101
 187  |    11010100
 146  |    11010011
 189  |    11010010
 148  |    11010000
 150  |    11001111
 194  |    11001110
 59   |    11001101
 156  |    11001100
 184  |    11001011
 185  |    11001010
 176  |    11001001
 57   |    11001000
 157  |    11000111
 58   |    11000110
 163  |    11000100
 153  |    11000011
 158  |    11000010
 155  |    11000001
 151  |    10111111
 161  |    10111110
 154  |    10111100
 182  |    10111011
 186  |    10111010
 56   |    10111000
 172  |    10110111
 179  |    10110110
 169  |    10110101
 196  |    10110100
 160  |    10110011
 167  |    10110010
 197  |    10110000
 166  |    10101111
 168  |    10101110
 174  |    10101100
 177  |    10101011
 164  |    10101001
 181  |    10101000
 162  |    10100111
 173  |    10100110
 183  |    10100100
 171  |    10100011
 165  |    10100010
 170  |    10100001
 55   |    10100000
 54   |    10011111
 198  |    10011110
 53   |    10011100
 178  |    10011011
 180  |    10011010
 51   |    10011000
 175  |    10010110
 52   |    10010101
 199  |    10010011
 49   |    10010000
 48   |    10001111
 50   |    10001110
 47   |    10001001
 46   |    10000111
 200  |    10000110
 201  |    10000101
 45   |    01111001
 44   |    01111000
 43   |    01011000
 202  |    00101100
 203  |    00010100
 42   |    00000101
 41   |    00000100
 242  |   111101110
 224  |   111101001
 39   |   111101000
 40   |   111011110
 240  |   111010101
 204  |   111010100
 243  |   111001001
 241  |   111001000
 38   |   110110011
 222  |   110110010
 228  |   110101101
 205  |   110101100
 239  |   110100011
 221  |   110001011
 223  |   110001010
 226  |   110000001
 225  |   110000000
 238  |   101111011
 37   |   101111010
 227  |   101110011
 220  |   101110010
 230  |   101100010
 244  |   101011011
 206  |   101011010
 229  |   101010101
 237  |   101010100
 36   |   101001011
 35   |   101001010
 236  |   100111010
 219  |   100110011
 207  |   100110010
 34   |   100101111
 232  |   100101110
 218  |   100101001
 231  |   100101000
 245  |   100100101
 33   |   100100100
 208  |   100100010
 234  |   100011011
 217  |   100011010
 233  |   100011001
 216  |   100011000
 209  |   100010111
 235  |   100010110
 32   |   100010101
 31   |   100010100
 246  |   100010001
 214  |   100001000
 215  |   100000111
 213  |   100000110
 210  |   100000101
 211  |   100000100
 212  |   010110010
 30   |   001011011
 29   |   000101011
 28   |   000101010
 247  |  1111011111
 27   |  1111011110
 26   |  1101000101
 248  |  1011000111
 25   |  1011000110
 23   |  1001110111
 24   |  1001110110
 22   |  1001000110
 21   |  1000100001
 19   |  1000100000
 249  |  1000010010
 20   |  0101100111
 18   |  0010110100
 17   | 11101111111
 250  | 11101111101
 16   | 11010001001
 15   | 11010001000
 14   | 10010001110
 13   | 01011001101
 251  | 01011001100
 12   | 00101101010
 11   |111011111101
 0    |111011111100
 10   |111011111001
 252  |100100011110
 9    |100001001111
 8    |100001001101
 7    |100001001100
 5    |001011010111
 6    |001011010110
 253  |1110111110001
 4    |1110111110000
 3    |1001000111111
 2    |1001000111110
 1    |1000010011101
 254  |10000100111001
 255  |10000100111000
La entropia de la fuente es:  7.763192417180761
La longitud media del código es:  7.801576969432545
La varianza del codigo de huffman es:  0.6071018596226906
La eficiencia con la codificacion original es:  1.0640354041240858
La eficiencia con la codificacion nueva es:  0.9950798982818245
