 Char | Huffman code 
----------------------
 32   |         111
 101  |         001
 116  |        1100
 105  |        1011
 115  |        1001
 111  |        0111
 110  |        0110
 97   |        0101
 114  |       11011
 104  |       10101
 99   |       10100
 108  |       10001
 109  |       01000
 100  |       00010
 117  |       00001
 102  |       00000
 103  |      100000
 112  |      010011
 121  |      010010
 98   |      000110
 46   |     1101001
 119  |     1000011
 118  |     0001111
 44   |     0001110
 120  |   110101101
 10   |   110101011
 84   |   110101001
 40   |   110101000
 41   |   110100011
 113  |   110100000
 73   |   100001011
 59   |   100001010
 65   |   100001000
 49   |  1101011101
 50   |  1101011100
 107  |  1101011000
 226  |  1101010101
 128  |  1101010100
 77   |  1101000011
 80   | 11010111101
 78   | 11010111100
 51   | 11010111111
 148  | 11010110011
 67   | 10000100111
 45   | 10000100110
 58   | 11010001001
 87   | 11010001000
 48   | 11010001011
 70   | 10000100100
 122  |110101111101
 61   |110101111100
 72   |110101100100
 106  |100001001011
 83   |100001001010
 47   |110100001001
 66   |110100001000
 156  |110100001011
 157  |110100001010
 86   |110100010101
 68   |1101011001010
 79   |11010110010111
 74   |11010110010110
 52   |1101000101001
 53   |1101000101000
La entropia de la fuente es:  4.359196316330298
La longitud media del código es:  4.384563486708949
La varianza del codigo de huffman es:  2.174604515298813
La eficiencia con la codificacion original es:  0.6408904122425761
La eficiencia con la codificacion nueva es:  0.9942144365213215
