 Char | Huffman code 
----------------------
 0    |    01010101
 1    |    01010100
 2    |    01010111
 3    |    01010110
 4    |    01010001
 5    |    01010000
 6    |    01010011
 7    |    01010010
 8    |    01011101
 9    |    01011100
 10   |    01011111
 11   |    01011110
 12   |    01011001
 13   |    01011000
 14   |    01011011
 15   |    01011010
 16   |    01000101
 17   |    01000100
 18   |    01000111
 19   |    01000110
 20   |    01000001
 21   |    01000000
 22   |    01000011
 23   |    01000010
 24   |    01001101
 25   |    01001100
 26   |    01001111
 27   |    01001110
 28   |    01001001
 29   |    01001000
 30   |    01001011
 31   |    01001010
 32   |    01110101
 33   |    01110100
 34   |    01110111
 35   |    01110110
 36   |    01110001
 37   |    01110000
 38   |    01110011
 39   |    01110010
 40   |    01111101
 41   |    01111100
 42   |    01111111
 43   |    01111110
 44   |    01111001
 45   |    01111000
 46   |    01111011
 47   |    01111010
 48   |    01100101
 49   |    01100100
 50   |    01100111
 51   |    01100110
 52   |    01100001
 53   |    01100000
 54   |    01100011
 55   |    01100010
 56   |    01101101
 57   |    01101100
 58   |    01101111
 59   |    01101110
 60   |    01101001
 61   |    01101000
 62   |    01101011
 63   |    01101010
 64   |    00010101
 65   |    00010100
 66   |    00010111
 67   |    00010110
 68   |    00010001
 69   |    00010000
 70   |    00010011
 71   |    00010010
 72   |    00011101
 73   |    00011100
 74   |    00011111
 75   |    00011110
 76   |    00011001
 77   |    00011000
 78   |    00011011
 79   |    00011010
 80   |    00000101
 81   |    00000100
 82   |    00000111
 83   |    00000110
 84   |    00000001
 85   |    00000000
 86   |    00000011
 87   |    00000010
 88   |    00001101
 89   |    00001100
 90   |    00001111
 91   |    00001110
 92   |    00001001
 93   |    00001000
 94   |    00001011
 95   |    00001010
 96   |    00110101
 97   |    00110100
 98   |    00110111
 99   |    00110110
 100  |    00110001
 101  |    00110000
 102  |    00110011
 103  |    00110010
 104  |    00111101
 105  |    00111100
 106  |    00111111
 107  |    00111110
 108  |    00111001
 109  |    00111000
 110  |    00111011
 111  |    00111010
 112  |    00100101
 113  |    00100100
 114  |    00100111
 115  |    00100110
 116  |    00100001
 117  |    00100000
 118  |    00100011
 119  |    00100010
 120  |    00101101
 121  |    00101100
 122  |    00101111
 123  |    00101110
 124  |    00101001
 125  |    00101000
 126  |    00101011
 127  |    00101010
 128  |    11010101
 129  |    11010100
 130  |    11010111
 131  |    11010110
 132  |    11010001
 133  |    11010000
 134  |    11010011
 135  |    11010010
 136  |    11011101
 137  |    11011100
 138  |    11011111
 139  |    11011110
 140  |    11011001
 141  |    11011000
 142  |    11011011
 143  |    11011010
 144  |    11000101
 145  |    11000100
 146  |    11000111
 147  |    11000110
 148  |    11000001
 149  |    11000000
 150  |    11000011
 151  |    11000010
 152  |    11001101
 153  |    11001100
 154  |    11001111
 155  |    11001110
 156  |    11001001
 157  |    11001000
 158  |    11001011
 159  |    11001010
 160  |    11110101
 161  |    11110100
 162  |    11110111
 163  |    11110110
 164  |    11110001
 165  |    11110000
 166  |    11110011
 167  |    11110010
 168  |    11111101
 169  |    11111100
 170  |    11111111
 171  |    11111110
 172  |    11111001
 173  |    11111000
 174  |    11111011
 175  |    11111010
 176  |    11100101
 177  |    11100100
 178  |    11100111
 179  |    11100110
 180  |    11100001
 181  |    11100000
 182  |    11100011
 183  |    11100010
 184  |    11101101
 185  |    11101100
 186  |    11101111
 187  |    11101110
 188  |    11101001
 189  |    11101000
 190  |    11101011
 191  |    11101010
 192  |    10010101
 193  |    10010100
 194  |    10010111
 195  |    10010110
 196  |    10010001
 197  |    10010000
 198  |    10010011
 199  |    10010010
 200  |    10011101
 201  |    10011100
 202  |    10011111
 203  |    10011110
 204  |    10011001
 205  |    10011000
 206  |    10011011
 207  |    10011010
 208  |    10000101
 209  |    10000100
 210  |    10000111
 211  |    10000110
 212  |    10000001
 213  |    10000000
 214  |    10000011
 215  |    10000010
 216  |    10001101
 217  |    10001100
 218  |    10001111
 219  |    10001110
 220  |    10001001
 221  |    10001000
 222  |    10001011
 223  |    10001010
 224  |    10110101
 225  |    10110100
 226  |    10110111
 227  |    10110110
 228  |    10110001
 229  |    10110000
 230  |    10110011
 231  |    10110010
 232  |    10111101
 233  |    10111100
 234  |    10111111
 235  |    10111110
 236  |    10111001
 237  |    10111000
 238  |    10111011
 239  |    10111010
 240  |    10100101
 241  |    10100100
 242  |    10100111
 243  |    10100110
 244  |    10100001
 245  |    10100000
 246  |    10100011
 247  |    10100010
 248  |    10101101
 249  |    10101100
 250  |    10101111
 251  |    10101110
 252  |    10101001
 253  |    10101000
 254  |    10101011
 255  |    10101010
La entropia de la fuente es:  8.000000000000002
La longitud media del código es:  8.000000000000002
La varianza del codigo de huffman es:  3.155443620884048e-30
La eficiencia con la codificacion original es:  1.141583054626533
La eficiencia con la codificacion nueva es:  1.0
